loss_pct,latency_ms,kem,run,success,degraded,total_ms,rtt_ms,msg1_bytes,msg2_bytes,error
30,50,ML-KEM-1024,5,True,True,18230.11,18131.67,1581,3165,
0,100,ECDH-P256,1,True,True,228.99,112.08,75,156,
0,100,ECDH-P256,2,True,True,213.2,105.11,75,156,
0,100,ECDH-P256,3,True,True,211.35,107.08,75,156,
0,100,ECDH-P256,4,True,True,222.91,108.1,75,156,
0,100,ECDH-P256,5,True,True,221.33,112.58,75,156,
0,100,ML-KEM-512,1,True,False,355.21,225.07,813,1597,
0,100,ML-KEM-512,2,True,False,352.94,227.8,813,1597,
0,100,ML-KEM-512,3,True,False,366.63,233.63,813,1597,
0,100,ML-KEM-512,4,True,False,365.9,235.69,813,1597,
0,100,ML-KEM-512,5,True,False,367.08,232.98,813,1597,
0,100,ML-KEM-768,1,True,False,588.73,446.85,1197,2301,
0,100,ML-KEM-768,2,True,False,589.82,448.84,1197,2301,
0,100,ML-KEM-768,3,True,False,591.76,447.4,1197,2301,
0,100,ML-KEM-768,4,True,False,577.02,440.1,1197,2301,
0,100,ML-KEM-768,5,True,False,584.71,452.04,1197,2301,
0,100,ML-KEM-1024,1,True,False,706.11,557.66,1581,3165,
0,100,ML-KEM-1024,2,True,False,716.88,572.29,1581,3165,
0,100,ML-KEM-1024,3,True,False,706.96,559.85,1581,3165,
0,100,ML-KEM-1024,4,True,False,701.11,556.34,1581,3165,
0,100,ML-KEM-1024,5,True,False,723.68,562.89,1581,3165,
5,100,ECDH-P256,1,True,True,215.33,104.62,75,156,
5,100,ECDH-P256,2,True,True,216.83,106.31,75,156,
5,100,ECDH-P256,3,True,True,216.96,107.45,75,156,
5,100,ECDH-P256,4,True,True,208.45,102.09,75,156,
5,100,ECDH-P256,5,True,True,224.32,112.16,75,156,
5,100,ML-KEM-512,1,True,False,355.73,225.31,813,1597,
5,100,ML-KEM-512,2,True,False,345.38,220.3,813,1597,
5,100,ML-KEM-512,3,True,False,358.83,230.76,813,1597,
5,100,ML-KEM-512,4,True,False,358.04,224.19,813,1597,
5,100,ML-KEM-512,5,True,False,353.47,229.88,813,1597,
5,100,ML-KEM-768,1,True,False,585.02,445.02,1197,2301,
5,100,ML-KEM-768,2,True,False,592.49,456.45,1197,2301,
5,100,ML-KEM-768,3,True,False,586.98,445.83,1197,2301,
5,100,ML-KEM-768,4,True,False,591.6,452.33,1197,2301,
5,100,ML-KEM-768,5,True,False,581.13,439.73,1197,2301,
5,100,ML-KEM-1024,1,True,False,705.76,561.14,1581,3165,
5,100,ML-KEM-1024,2,True,False,703.85,552.48,1581,3165,
5,100,ML-KEM-1024,3,True,False,709.12,563.81,1581,3165,
